"Name","Source","Description","FileCount","TotalBytes","Path"
"codex-test-bridge","local","HTTP bridge-расширение для демо- и тестовых баз 1С. Используй когда нужно поставить или вызвать CodexTestBridge CFE вместо COM-подключения, получить метаданные по HTTP, создать/прочитать тестовые данные, выполнить запрос или проверить внешние отчеты и печатные формы без UI.","56","428592","<skills-root>\codex-test-bridge"
"db-create","curated","Создание информационной базы 1С. Используй когда пользователь просит создать базу, новую ИБ, пустую базу","5","16436","<skills-root>\db-create"
"db-dump-cf","curated","Выгрузка конфигурации 1С в CF-файл. Используй когда пользователь просит выгрузить конфигурацию в CF, сохранить конфигурацию, сделать бэкап CF","5","16089","<skills-root>\db-dump-cf"
"db-dump-xml","curated","Выгрузка конфигурации 1С в XML-файлы. Используй когда пользователь просит выгрузить конфигурацию в файлы, XML, исходники, DumpConfigToFiles","5","23032","<skills-root>\db-dump-xml"
"db-list","curated","Просмотр и настройка вспомогательного файла проекта .v8-project.json для 1С: версия платформы, каталог XML, webUrl, алиасы и ветки. Не используй его как реестр подключений — подключения выбирает только test-databases.","3","5137","<skills-root>\db-list"
"db-load-cf","curated","Загрузка конфигурации 1С из CF-файла. Используй когда пользователь просит загрузить конфигурацию из CF, восстановить из бэкапа CF","5","16311","<skills-root>\db-load-cf"
"db-load-git","curated","Загрузка изменений из Git в базу 1С. Используй когда пользователь просит загрузить изменения из гита, обновить базу из репозитория, partial load из коммита","5","29402","<skills-root>\db-load-git"
"db-load-xml","curated","Загрузка конфигурации 1С из XML-файлов. Используй когда пользователь просит загрузить конфигурацию из файлов, XML, исходников, LoadConfigFromFiles","5","27743","<skills-root>\db-load-xml"
"db-run","curated","Запуск 1С:Предприятие. Используй когда пользователь просит запустить 1С, открыть базу, запустить предприятие","5","14001","<skills-root>\db-run"
"db-update","curated","Обновление конфигурации базы данных 1С. Используй когда пользователь просит обновить БД, применить конфигурацию, UpdateDBCfg","5","17803","<skills-root>\db-update"
"epf","curated","Маршрутизатор операций с внешними обработками 1С (EPF): создание, сборка, разборка, валидация, формы, макеты и регистрация БСП. Используй при общем запросе про EPF; выполнение делегируй специализированному skill.","2","1706","<skills-root>\epf"
"epf-bsp-add-command","curated","Добавить команду в дополнительную обработку БСП","3","15506","<skills-root>\epf-bsp-add-command"
"epf-bsp-init","curated","Добавить функцию регистрации БСП (СведенияОВнешнейОбработке) в модуль объекта обработки","3","16193","<skills-root>\epf-bsp-init"
"epf-build","curated","Собрать внешнюю обработку 1С (EPF/ERF) из XML-исходников. Используй когда пользователь просит собрать, скомпилировать обработку или получить EPF/ERF файл из исходников","7","119294","<skills-root>\epf-build"
"epf-dump","curated","Разобрать EPF-файл обработки 1С (EPF/ERF) в XML-исходники. Используй когда пользователь просит разобрать, декомпилировать обработку, получить исходники из EPF/ERF файла","5","16596","<skills-root>\epf-dump"
"epf-full-cycle","curated","Полный цикл создания внешней обработки 1С — от scaffold до сборки EPF. Workflow: epf-init → form → template → bsp → build.","3","6527","<skills-root>\epf-full-cycle"
"epf-init","curated","Создать пустую внешнюю обработку 1С (scaffold XML-исходников)","5","11496","<skills-root>\epf-init"
"epf-validate","curated","Валидация внешней обработки 1С (EPF). Используй после создания или модификации обработки для проверки корректности","5","57663","<skills-root>\epf-validate"
"erf","curated","Маршрутизатор операций с внешними отчётами 1С (ERF): создание, сборка, разборка, валидация, формы и макеты. Используй при общем запросе про ERF; выполнение делегируй специализированному skill.","2","1529","<skills-root>\erf"
"erf-init","curated","Создать пустой внешний отчёт 1С (scaffold XML-исходников)","5","18974","<skills-root>\erf-init"
"form-add","curated","Добавить управляемую форму к объекту конфигурации 1С","5","46460","<skills-root>\form-add"
"form-compile","curated","Компиляция управляемой формы 1С из JSON-определения или из метаданных объекта. Используй когда нужно создать форму с нуля по описанию элементов или сгенерировать типовую форму","7","259416","<skills-root>\form-compile"
"form-edit","curated","Добавление элементов, реквизитов и команд в существующую управляемую форму 1С. Используй когда нужно точечно модифицировать готовую форму","5","116376","<skills-root>\form-edit"
"form-info","curated","Анализ структуры управляемой формы 1С (Form.xml) — элементы, реквизиты, команды, события. Используй для понимания формы — при написании модуля формы, анализе обработчиков и элементов","5","46194","<skills-root>\form-info"
"form-patterns","curated","Справочник паттернов компоновки управляемых форм 1С. Используй как справочник при проектировании форм — архетипы, конвенции, продвинутые приёмы","3","17717","<skills-root>\form-patterns"
"form-remove","curated","Удалить форму из объекта 1С (обработка, отчёт, справочник, документ и др.)","5","11293","<skills-root>\form-remove"
"form-validate","curated","Валидация управляемой формы 1С. Используй после создания или модификации формы для проверки корректности. При наличии BaseForm автоматически проверяет callType и ID расширений","5","56158","<skills-root>\form-validate"
"help-add","curated","Добавить встроенную справку к объекту 1С (обработка, отчёт, справочник, документ и др.). Используй когда пользователь просит добавить справку, help, встроенную помощь к объекту","5","15686","<skills-root>\help-add"
"ibcmd-1c-builds","curated","Work with 1C:Enterprise configuration and extension build/update workflows through ibcmd. Use when Codex needs to import XML sources, build/save CF/CFE artifacts, load extensions into file infobases, run check/apply, diagnose ibcmd standalone runtime, authentication, .cfl locks, generation IDs, or compare Designer vs ibcmd paths for 1C updates and builds.","2","6273","<skills-root>\ibcmd-1c-builds"
"inspect","curated","Маршрутизатор анализа XML-исходников 1С: конфигураций, расширений, объектов метаданных, форм, СКД, MXL, ролей и подсистем. Используй для инспекции перед изменениями и направляй задачу в специализированный info/diff skill.","2","1530","<skills-root>\inspect"
"interface-edit","curated","Настройка командного интерфейса подсистемы 1С. Используй когда нужно скрыть или показать команды, разместить в группах, настроить порядок","6","49582","<skills-root>\interface-edit"
"interface-validate","curated","Валидация командного интерфейса 1С. Используй после настройки командного интерфейса подсистемы для проверки корректности","5","33600","<skills-root>\interface-validate"
"meta-compile","curated","Создать объект метаданных 1С. Используй когда пользователь просит создать или добавить справочник, документ, регистр, перечисление, константу, общий модуль, обработку, отчёт и др.","10","323003","<skills-root>\meta-compile"
"meta-edit","curated","Точечное редактирование объекта метаданных 1С. Используй когда нужно добавить, удалить или изменить реквизиты, табличные части, измерения, ресурсы или свойства существующего объекта конфигурации","8","209981","<skills-root>\meta-edit"
"meta-info","curated","Анализ структуры объекта метаданных 1С из XML-выгрузки — реквизиты, табличные части, формы, движения, типы. Используй для изучения структуры объектов (вместо чтения XML-файлов напрямую) и как подготовительный шаг при написании запросов и кода, работающего с объектами","5","101478","<skills-root>\meta-info"
"meta-remove","curated","Удалить объект метаданных из конфигурации 1С. Используй когда пользователь просит удалить, убрать объект из конфигурации","5","42673","<skills-root>\meta-remove"
"meta-validate","curated","Валидация объекта метаданных 1С. Используй после создания или модификации объекта конфигурации для проверки корректности","5","107224","<skills-root>\meta-validate"
"mxl","curated","Маршрутизатор операций с MXL-макетами 1С: компиляция, декомпиляция, анализ, валидация и подключение макета к объекту. Используй при общем запросе про MXL.","2","1390","<skills-root>\mxl"
"mxl-compile","curated","Компиляция табличного документа (MXL) из JSON-определения. Используй когда нужно создать макет печатной формы","6","61454","<skills-root>\mxl-compile"
"mxl-decompile","curated","Декомпиляция табличного документа (MXL) в JSON-определение. Используй когда нужно получить редактируемое описание существующего макета","5","47979","<skills-root>\mxl-decompile"
"mxl-info","curated","Анализ структуры макета табличного документа (MXL) — области, параметры, наборы колонок. Используй при разработке печати — получить области и заполняемые параметры макета","5","41416","<skills-root>\mxl-info"
"mxl-validate","curated","Валидация макета табличного документа (MXL). Используй после создания или модификации макета для проверки корректности","5","33507","<skills-root>\mxl-validate"
"playwright-test","curated","Используй этот скилл когда пользователь говорит ""напиши UI-тест"", ""создай playwright тест"", ""scaffold playwright"", ""протестируй фичу в браузере"". Также используй после деплоя фичи 1С для создания автоматизированного регрессионного теста. Не используй для интерактивной автоматизации браузера — используй web-session или web-test.","2","11152","<skills-root>\playwright-test"
"query-optimization","curated","Compose correct and optimized 1C:Enterprise query language queries. Covers ВЫБРАТЬ/ИЗ/ГДЕ structure, table naming (catalogs, documents, registers, virtual tables), field selection, joins, grouping, totals, temporary tables, and parameter usage. Includes accounting register virtual tables (Остатки, Обороты, ОстаткиИОбороты, ОборотыДтКт, ДвиженияССубконто) with Счет, Субконто, and correspondence parameters. Use when the agent needs to compose a 1C query for execute_query, or when the user asks to query, filter, aggregate, or analyze data from a 1C database. Triggered by requests involving 1C data retrieval, report building, or query debugging.","7","63330","<skills-root>\query-optimization"
"repo-update","local","Обновление конфигурации 1С из хранилища конфигурации. Используй, когда пользователь просит получить изменения из хранилища, обновить конфигурацию из хранилища, выполнить ConfigurationRepositoryUpdateCfg, подтянуть последнюю версию хранилища 1С.","3","13972","<skills-root>\repo-update"
"role-compile","curated","Создание роли 1С из описания прав. Используй когда нужно создать новую роль с набором прав на объекты","6","81777","<skills-root>\role-compile"
"role-info","curated","Компактная сводка прав роли 1С из Rights.xml — объекты, права, RLS, шаблоны ограничений. Используй для аудита прав — какие объекты и действия доступны, ограничения RLS","5","21140","<skills-root>\role-info"
"role-validate","curated","Валидация роли 1С. Используй после создания или модификации роли для проверки корректности","5","44560","<skills-root>\role-validate"
"skd-compile","curated","Компиляция схемы компоновки данных 1С (СКД) из компактного JSON-определения. Используй когда нужно создать СКД с нуля","7","236958","<skills-root>\skd-compile"
"skd-decompile","curated","Декомпиляция схемы компоновки данных 1С (СКД) в JSON-черновик в формате skd-compile. Используй для scaffold нового отчёта по образцу или структурного рефакторинга. Не для точечных правок","4","262357","<skills-root>\skd-decompile"
"skd-edit","curated","Точечное редактирование схемы компоновки данных 1С (СКД). Используй когда нужно модифицировать существующую СКД — добавить поля, итоги, фильтры, параметры, изменить текст запроса","5","228045","<skills-root>\skd-edit"
"skd-info","curated","Анализ структуры схемы компоновки данных 1С (СКД) — наборы, поля, параметры, варианты. Используй для понимания отчёта — источник данных (запрос), доступные поля, параметры","6","158018","<skills-root>\skd-info"
"skd-validate","curated","Валидация схемы компоновки данных 1С (СКД). Используй после создания или модификации СКД для проверки корректности","5","52601","<skills-root>\skd-validate"
"subsystem","curated","Маршрутизатор операций с подсистемами и командным интерфейсом 1С: создание, редактирование, анализ, валидация и настройка интерфейса.","2","1432","<skills-root>\subsystem"
"subsystem-compile","curated","Создать подсистему 1С — XML-исходники из JSON-определения. Используй когда пользователь просит добавить подсистему (раздел) в конфигурацию","5","51468","<skills-root>\subsystem-compile"
"subsystem-edit","curated","Точечное редактирование подсистемы 1С. Используй когда нужно добавить или удалить объекты из подсистемы, управлять дочерними подсистемами или изменить свойства","5","56716","<skills-root>\subsystem-edit"
"subsystem-info","curated","Анализ структуры подсистемы 1С из XML-выгрузки — состав, дочерние подсистемы, командный интерфейс, дерево иерархии. Используй для изучения структуры подсистем и навигации по конфигурации","5","45717","<skills-root>\subsystem-info"
"subsystem-validate","curated","Валидация подсистемы 1С. Используй после создания или модификации подсистемы для проверки корректности","5","33033","<skills-root>\subsystem-validate"
"template-add","curated","Добавить макет к объекту 1С (обработка, отчёт, справочник, документ и др.)","5","31744","<skills-root>\template-add"
"template-remove","curated","Удалить макет из объекта 1С (обработка, отчёт, справочник, документ и др.)","5","11798","<skills-root>\template-remove"
"test-databases","local","Единственный источник параметров подключения к информационным базам 1С. Используй всегда, когда нужна база для Designer, ibcmd, web-publish, repo-update, db-dump-xml, db-load-xml, codex-test-bridge или любых других операций с ИБ. Запрещено подключаться к базам вне реестра test-databases.json.","3","10785","<skills-root>\test-databases"
"validate","curated","Маршрутизатор явной валидации XML-исходников объектов 1С. Используй когда пользователь просит проверить конфигурацию, расширение, метаданные, форму, подсистему, интерфейс, роль, СКД, MXL, EPF или ERF.","2","1635","<skills-root>\validate"
"web-info","curated","Статус Apache и веб-публикаций 1С — запущен ли сервер, какие базы опубликованы, ошибки. Используй когда пользователь спрашивает про статус веб-сервера, опубликованные базы, работает ли Apache","4","13230","<skills-root>\web-info"
"web-publish","curated","Публикация информационной базы 1С через Apache. Используй когда пользователь просит опубликовать базу, сервисы, настроить веб-доступ, веб-клиент, открыть в браузере","4","39377","<skills-root>\web-publish"
"web-session","curated","Используй этот скилл для управления 1С:Предприятие в веб-клиенте через Playwright MCP: запуск/перезапуск/завершение сеанса, навигация, создание и редактирование справочников и документов. Также используй для генерации тестовых данных через UI и сценарного тестирования в браузере. Не используй для scaffold автотестов — используй playwright-test.","10","37253","<skills-root>\web-session"
"web-stop","curated","Остановка Apache HTTP Server. Используй когда пользователь просит остановить веб-сервер, Apache, прекратить веб-публикацию","4","9582","<skills-root>\web-stop"
"web-test","curated","Тестирование 1С именно через опубликованный веб-клиент в браузере Playwright. Используй только когда пользователь явно выбирает браузер или web-клиент; для нативного или headless UI 1С используй codex-test-bridge.","10","385264","<skills-root>\web-test"
"web-unpublish","curated","Удаление веб-публикации 1С из Apache. Используй когда пользователь просит убрать публикацию, удалить веб-доступ к базе","4","15840","<skills-root>\web-unpublish"
